代码,名称,现价,总股本,流通A股,第一流通股东,第一流通股东股本,百份比,股东性质
600303,曙光股份,8.55,57450.6,57450.6,辽宁曙光集团有限责任公司,6069.38,21.129,境内法人股
600305,恒顺醋业,14.29,12715.0,12715.0,江苏恒顺集团有限公司,6604.26,51.941,国有股
600306,商业城,17.58,17813.892,15194.556,深圳市琪创能贸易有限公司,2229.07,12.513,境内法人股
600307,酒钢宏兴,5.48,409135.742,174720.0,酒泉钢铁(集团)有限责任公司,54087.6,26.44,国有股
600308,华泰股份,10.03,64864.523,64864.523,华泰集团有限公司,22305.0,34.387,国有股
600309,烟台万华,18.71,216233.472,216233.472,万华实业集团有限公司,83990.8,50.495,国有股
600310,桂东电力,18.64,27592.5,27592.5,广西贺州投资集团有限公司,9603.29,52.206,国有股
600311,荣华实业,13.49,66560.0,66560.0,武威荣华工贸有限公司,10897.7,16.373,境内法人股
600312,平高电气,10.15,81896.617,81896.617,平高集团有限公司,16718.7,20.414,国有股
600315,上海家化,36.88,42303.206,41922.123,上海家化（集团）有限公司,16151.7,38.181,国有股
600316,洪都航空,32.23,71711.451,56448.0,中国航空科技工业股份有限公司,29783.4,41.532,国有股
600317,营口港,5.8,109757.163,46833.91,营口港务集团有限公司,2547.03,2.321,国有股
600318,巢东股份,19.89,24200.0,24200.0,PROSPERITY MINERALS INVESTMENT LIMITED,8000.0,33.058,境外法人股
600319,亚星化学,9.0,31559.4,31559.4,潍坊亚星集团有限公司,11632.6,36.859,国有股
600320,振华重工,6.65,439029.458,254759.83,中国交通建设股份有限公司,103990.0,23.686,国有股
600321,国栋建设,6.82,59044.0,45552.0,四川国栋建设集团有限公司,4555.2,10.0,境内法人股
600322,天房发展,5.31,110570.0,110570.0,天津市房地产开发经营集团有限公司,27766.2,25.112,国有股
600323,南海发展,13.88,27106.842,27106.842,福建省华兴集团有限责任公司,1346.63,4.968,境内法人股
600325,华发股份,11.22,81704.562,81704.562,珠海华发集团有限公司,17905.5,21.915,国有股
600326,西藏天路,14.44,54720.0,54720.0,西藏天路建筑工业集团有限公司,4069.2,7.436,国有股
600327,大东方,9.36,52171.181,52171.181,江苏无锡商业大厦集团有限公司,22515.0,43.156,国有股
600328,兰太实业,11.3,35911.803,35911.803,中盐吉兰泰盐化集团有限公司,16114.4,44.872,国有股
600329,中新药业,12.09,73930.872,53343.372,天津市医药集团有限公司,32561.1,44.043,国有股
